id,name,zone,lat,lon,area,addl
3660,A Lot,1,42.458150,-76.475667,Cornell - North Campus ,"There are three bus shelters in A lot."
9402,Acacia - see "Highland @Country Club Rd",1,0.000000,0.000000,Cayuga Heights,""
2220,Airport,1,42.489067,-76.462600,Lansing (Village/ Shops at Ithaca Mall) ,"Ithaca Tompkins  Regional Airport is accessed from Warren Rd. and the Cornell Business Technology Research Park on Brown Rd."
9182,Albany @ Salvation Army,1,42.439880,-76.501809,Ithaca - Downtown/ Commons,"Stop located on Albany Street between Seneca and State Street. In front of the Salvation Army."
8086,Aldi,1,42.449233,-76.506450,Ithaca - Northside/ Fall Creek ,"Aldi is located next to Ithaca Farmers' Market on the west side of Rt. 13."
9342,Alpha Epsilon Pi,1,42.453809,-76.487995,Cornell - North Campus ,""
8091,Anabel Taylor Hall,1,42.444837,-76.485172,Cornell - Central Campus ,"On the same side of College Ave. as Anable Taylor Hall, at the intersection of College Ave. & Campus Rd."
9340,Appel Commons @ Cradit Farm,1,42.453323,-76.476125,Cornell - North Campus ,""
9355,Asbury @ Triphammer,2,42.526741,-76.491795,Lansing (Town) ,""
6500,Aubles Trailer Park,2,42.547383,-76.676117,Trumansburg ,"North of Trumansburg on W. Seneca Rd. Route 21  turn-around."
9357,Auburn Rd. (Rt. 34) @ Buck Rd.,2,42.556779,-76.493983,Lansing (Town) ,""
9358,Auburn Rd. (Rt. 34) @ E. Lansing/Searles,2,42.567542,-76.492975,Lansing (Town) ,""
8064,Aurora @ Commons,1,42.439219,-76.495590,Ithaca - Downtown/ Commons,"East end of Ithaca Commons at Rothchild's Building"
8102,B Lot,1,42.446745,-76.463465,Cornell - Vet School Area ,"B Lot is located off Campus Road between Tower Road and Caldwell Road on Cornell's Campus."
3900,Baker Flagpole,1,42.447820,-76.487736,Cornell - West Campus ,"Baker Flagpole is located on Cornell's West Campus, adjacent to West Ave."
8083,Baker Flagpole/Slopeside,1,42.447817,-76.487483,Cornell - West Campus ,"This stop is located on Cornell's West Campus, across the street from Baker Flagpole, adjacent to Libe Slope."
8092,Balch Hall @ Cradit Farm,1,42.452893,-76.479412,Cornell - North Campus ,"On Cradit Farm Drive by the decroative wooden, "Candy Land," entrance to Balch Hall."
3600,Balch Hall @ Thurston,1,42.452977,-76.480991,Cornell - North Campus ,"Cornell's North Campus on Thurston Ave. between Wait Ave. & Cradit Farm Drive in front of Balch Hall."
9215,Bed Bath and Beyond,1,42.429238,-76.513381,Ithaca - Southside/ Southwest ,""
9135,BOCES (Elmira Rd.),1,42.429958,-76.504908,Ithaca - Southside/ Southwest ,""
9249,BOCES (TST BOCES-Warren Rd.),1,42.475128,-76.466008,Town of Ithaca - Northeast ,""
9368,Boiceville Rd. @ Rt. 79,2,42.393639,-76.362834,Caroline/ Brooktondale,""
9032,Boldt Hall,1,42.449263,-76.489250,Cornell - West Campus ,"The Boltd Hall stop is on the north end of Cornell's West Campus.  The stop is on the eastbound (uphill) side of the road."
3360,Boyce-Thompson Institute,1,42.447451,-76.467465,Cornell - Vet School Area ,"Boyce-Thompson Institute stop is located on Tower Road on Cornell's campus."
9197,Boynton Middle School,1,42.460748,-76.497213,Ithaca - Northside/ Fall Creek ,""
8093,Bradfield Hall,1,42.447717,-76.476583,Cornell - Central Campus ,"On Tower Rd. next to Bradfield Hall"
8094,Bradfield Parking Lot,1,42.447436,-76.476558,Cornell - Central Campus ,"This stop is located on Tower Rd. next to Robson Alumni Fields opposide Bradfield Hall."
9251,Brentwood Dr. @ Arrowood Dr.,1,42.479100,-76.463385,Town of Ithaca - Northeast ,"Near Cayuga Medical Associates"
5115,Brooktondale Park & Ride Outbound,2,42.380902,-76.393331,Caroline/ Brooktondale,"Outbound to Caroline  bus stop in front of the Brooktondale Community Center."
9057,Brooktondale Park and Ride Inbound,2,42.381028,-76.393182,Caroline/ Brooktondale,"Inbound to Ithaca  bus stop located across the street from the Brooktondale Community Center"
5110,Brooktondale Store,2,42.381583,-76.396667,Caroline/ Brooktondale,"General Store in Brooktondale at shelter"
9268,Brown Rd. @ Culligan,1,42.487509,-76.464565,Town of Ithaca - Northeast ,""
9054,Buffalo @ Fulton (Greenstar backside),1,42.440846,-76.511246,Ithaca - West Hill/ West End ,""
1900,Buttermilk Falls @ Rt. 13,1,42.417576,-76.523455,Ithaca - Southside/ Southwest ,"Waterfalls, swimming, picnic area, hiking, gorge. Buttermilk Creek.  South of the City of Ithaca off Rt. 13."
9404,Buttermilk Falls SP - Lower entrance,1,42.416937,-76.521886,Ithaca - Southside/ Southwest ,""
9205,Campbell @ Brookfield Rd.,1,42.455278,-76.524163,Town of Ithaca - West Hill ,""
9203,Campbell @ Hector St. (Rte. 79),1,42.452468,-76.523348,Town of Ithaca - West Hill ,""
9204,Campbell @ Hopkins Pl.,1,42.456533,-76.524614,Town of Ithaca - West Hill ,""
9207,Candlewyck Dr @ Route 96 (Trumansburg Rd,1,42.460016,-76.528616,Town of Ithaca - West Hill ,""
5140,Caroline Town Hall,2,42.393883,-76.349783,Caroline/ Brooktondale,"NYS Rt 79 in Caroline Hamlet. Next to Town Hall with shelter and park & ride lot."
8072,Caroline Turn-Around,2,42.378215,-76.278395,Caroline/ Brooktondale,""
9020,Carpenter Hall,1,42.445050,-76.484950,Cornell - Central Campus ,""
9155,Cascadilla @ Albany,1,42.444442,-76.502089,Ithaca - Northside/ Fall Creek ,""
9202,Cascadilla @ Cayuga,1,42.444545,-76.499554,Ithaca - Northside/ Fall Creek ,""
9082,Cascadilla @ Third,1,42.444532,-76.503449,Ithaca - Northside/ Fall Creek ,""
8025,Cass Park,1,42.452468,-76.514990,Ithaca - West Hill/ West End ,"City of Ithaca Park with ice rink, swimming pool, fitness trail & Inlet. Next to Allen H. Treman State Park & Hanger Theater. Site of early city airport. Service to this stop during the Summer only."
8023,Cayuga @ Boynton MS,1,42.460536,-76.500172,Ithaca - Northside/ Fall Creek ,"This stop is on North Cayuga Street opposite Boynton Middle School. Service to this stop during the Summer only."
9166,Cayuga @ Buffalo,1,42.441210,-76.499004,Ithaca - Downtown/ Commons,""
9191,Cayuga @ Cascadilla,1,42.445020,-76.499372,Ithaca - Northside/ Fall Creek ,"Before bridge near Gimme! Coffee"
9167,Cayuga @ Court,1,42.442483,-76.499053,Ithaca - Downtown/ Commons,""
9168,Cayuga @ Farm,1,42.444850,-76.499117,Ithaca - Northside/ Fall Creek ,""
9012,Cayuga @ Ithaca HS,1,42.455208,-76.500083,Ithaca - Northside/ Fall Creek ,""
9153,Cayuga @ Jay,1,42.450726,-76.499750,Ithaca - Northside/ Fall Creek ,""
9083,Cayuga @ Lewis,1,42.449650,-76.499723,Ithaca - Northside/ Fall Creek ,""
1460,Cayuga @ Lincoln,1,42.452017,-76.499650,Ithaca - Northside/ Fall Creek ,""
9169,Cayuga @ Marshall,1,42.446003,-76.499236,Ithaca - Northside/ Fall Creek ,""
9171,Cayuga @ Tompkins,1,42.448351,-76.499509,Ithaca - Northside/ Fall Creek ,""
9170,Cayuga @ Yates,1,42.447136,-76.499311,Ithaca - Northside/ Fall Creek ,""
6000,Cayuga Medical Center,1,42.468305,-76.537001,Town of Ithaca - West Hill ,"Serves the Museum of the Earth"
8026,Cayuga Nature Center,2,42.519314,-76.554731,Ulysses ,""
9208,Cayuga Ridge @ Route 96,1,42.462505,-76.532688,Town of Ithaca - West Hill ,""
9088,Chestnut @ Elm Street,1,42.438643,-76.519086,Ithaca - West Hill/ West End ,"Bus Shelter"
9089,Chestnut Hill Apartments,1,42.441697,-76.517980,Ithaca - West Hill/ West End ,"Bus Shelter"
9388,Cinema Dr. @ Uptown Rd.,1,42.480967,-76.478430,Lansing (Village/ Shops at Ithaca Mall) ,""
9387,Cinema Drive @ Crosswalk,1,42.478631,-76.478341,Lansing (Village/ Shops at Ithaca Mall) ,""
9380,Ciser (Across Street),1,42.438508,-76.465254,Town of Ithaca - East Hill ,""
9379,Ciser Shelter,1,42.438653,-76.465359,Town of Ithaca - East Hill ,""
9124,Clinton @ Albany,1,42.436689,-76.501767,Ithaca - Downtown/ Commons,""
8142,Clinton @ Corn,1,42.436719,-76.505882,Ithaca - Southside/ Southwest ,""
9125,Clinton @ Fayette,1,42.436673,-76.502749,Ithaca - Downtown/ Commons,""
1221,Clinton @ Geneva,1,42.436842,-76.500593,Ithaca - Downtown/ Commons,""
9127,Clinton @ Plain,1,42.436810,-76.503599,Ithaca - Southside/ Southwest ,""
1250,Clinton West Plaza,1,42.436564,-76.506354,Ithaca - Southside/ Southwest ,""
8043,College @ Dryden,1,42.441883,-76.485317,Ithaca - Collegetown ,"North bound stop on College Ave. for outbound bus service. Paired with Schwartz Performing Arts Center Stop, which is served by inbound bus routes."
1750,College @ Mitchell,1,42.437995,-76.485069,Ithaca - Collegetown ,""
9315,Commonland (Rt. 79 @ Lois Lane),1,42.424355,-76.464538,Town of Ithaca - East Hill ,""
9092,Conifer Village,1,42.450920,-76.532140,Town of Ithaca - West Hill ,""
8122,Convenient Care,1,42.479876,-76.465026,Town of Ithaca - Northeast ,"Stop located at the Gazebo"
3220,Corson/Mudd Hall,1,42.447443,-76.479290,Cornell - Central Campus ,""
8125,Court @ Linn,1,42.443103,-76.494408,Ithaca - Northside/ Fall Creek ,""
4070,Creekwood Apartments,1,42.479626,-76.399693,Dryden (Town) ,"Between Pickney Rd. and Etna bridge. Adjacent to Fall Creek."
3350,Dairy Bar,1,42.447431,-76.471433,Cornell - Vet School Area ,"This stop is on Tower Road by the Peterson parking lot.  It is paired with "Dairy Bar Across Street" stop."
8095,Dairy Bar Across Street,1,42.447685,-76.471409,Cornell - Vet School Area ,"On Tower Rd. by the Peterson parking lot, opposite the Dairy Bar."
5300,Danby Fire Station,2,42.357244,-76.483002,Danby ,"Park & Ride at Danby Fire Station on NYS Rt 96B. With shelter."
9190,Demand and Response (DAR) Zone,1,42.482099,-76.417379,Dryden (Town) ,""
9255,Dewitt Middle School,1,42.476259,-76.466990,Town of Ithaca - Northeast ,""
302,Dryden @ Turkey Hill Road,1,42.460217,-76.427367,Dryden (Town) ,""
9359,Dryden Rd. @ Baker Hill Rd.,1,42.467281,-76.411087,Dryden (Town) ,""
9317,Dryden Rd. @ Game Farm Rd.,1,42.450734,-76.449544,Town of Ithaca - East Hill ,""
9381,Dryden Rd. @ Humphreys Crosswalk,1,42.442283,-76.476699,Town of Ithaca - East Hill ,""
9080,Dryden Rd. @ Ithaca Rd.,1,42.441090,-76.478284,Town of Ithaca - East Hill ,""
9320,Dryden Rd. @ Mt. Pleasant Rd.,1,42.455783,-76.436310,Dryden (Town) ,""
4230,Dryden South,2,42.472320,-76.294792,Dryden (Town) ,"NYS Rt 38 South, .7mi north of Dryden Lake. Good fishing."
9365,Dryden Village @ Post Office,2,42.490414,-76.299405,Dryden (Village/ TC3) ,""
8060,Dryden Village @ Sunoco,2,42.490596,-76.299609,Dryden (Village/ TC3) ,"At Sunoco Station on Main St. across from Dryden Post Office."
9377,East Hill Office Building,1,42.438942,-76.462950,Town of Ithaca - East Hill ,""
9378,East Hill Office Building Across Street,1,42.438568,-76.463409,Town of Ithaca - East Hill ,""
3540,East Hill Plaza,1,42.437635,-76.462642,Town of Ithaca - East Hill ,"Cornell offices, P & C Food Market, supermarket. Best Western Motel."
9303,East Ithaca Apts. @ Maple (inbound),1,42.441404,-76.471801,Town of Ithaca - East Hill ,""
9302,East Ithaca Apts. @ Maple (outbound),1,42.441266,-76.472054,Town of Ithaca - East Hill ,""
